id,username,submission_time,vote_number,question_id,message,image
1,lacika,1493398154,22,1,You need to use brackets: my_list = [],
2,csokivezer_412,1493088154,23,1,Look it up in the Python docs,
3,bende,1493088154,35,4,Look it up in the Python docs,
4,bende,1493088154,35,4,Look it up in the Python docs,
5,bende,1493088154,35,4,Look it up in the Python docs,
6,bende,1493088154,35,4,Look it up in the Python docs,
7,bende,1493088154,36,5,Look it up in the Python docs,
8,bende,1493088154,35,6,Look it up in the Python docs,
bende_1637848628.817957,bende,1637848628.817957,0,6,lehet nem müxik még az export sem,"ImmutableMultiDict([('image', <FileStorage: 'roli.jpg' ('image/jpeg')>)])"
bende_1637855085.4092753,bende,1637855085.4092753,0,1,BELLO,Screenshot_from_2021-11-18_09-30-27.png
zsu_1637871401.8197117,zsu,1637871401.8197117,0,zsu_1637867501.1734967,ccccccccc,
zsu_1637871740.9155986,zsu,1637871740.9155986,0,zsu_1637855859.5298522,"teszt a faszom kivan már....
metnsd el geci",
zsu_1637871937.4868197,zsu,1637871937.4868197,0,zsu_1637871852.2506826,"nagyon sajnálom, hogy elszopodtam az idővel..
szerintem kurva jó kis Jinja forum lett amúgy!!! :)",
zsu_1637872121.061004,zsu,1637872121.061004,0,zsu_1637871852.2506826,"kisregényt írok itt neked answerekkel és bele is futok egy hibába.... az istenit, tényleg egy két lábon járó debugger vagyok basszameg :D
kár hogy a regény egyharamada elveszett, de nem baj, majd szóban :D",
zsu_1637872182.3010736,zsu,1637872182.3010736,0,zsu_1637871852.2506826,"az van, hogy a válaszokat nem jól menti el és he editelsz egy választ, akkor a többi elvész..
már kruva fáradt vagyok, tudom, hogy ez nem nagy hiba de nem tudom megtalálni mit kell módostani...
holnap megyek be korábban és megcsináljuk :)
<3",
zsu_1637872210.1223705,zsu,1637872210.1223705,0,zsu_1637855404.3811686,Jó volt a kondi???,
